Line,Artist,Life,Nationality,Title,Creation Date,Number,Of,Print Date,Medium,Type,Color / B&W,Qty,Height,Width,Depth,Height,Width,Depth,Signed,Presentation,Protection,Condition,Location Address,Room,Acquisition Date,Seller,Lot No.,Provenance Notes,Extra 1,Improvements,Expenses,Shows,Extra 1,Disposition Date,Buyer,Sale Amount,Realized Gain / (Loss),Provenance Notes,Extra 1,Estimated Valuation,image URL
144,"Ritts, Herb",1952-2002,American,"Man Holding Shell, Australia",1986,17,25,,Photograph,Gelatin Silver Print,Black & White,,18,14.825,30,25.5,,,"Signed, titled, dated and numbered 17/25 in pencil on the verso; copyright credit blindstamp in the margin",Framed,,Excellent,"7432 Silver Palm Avenue, Las Vegas, NV  89117",Gallery Storage,6-Oct-16,"Phillips, New York",168,,,,,,,,,,,,,,
145,"Ritts, Herb",1952-2002,American,"Eona, Holding Zebra Skull, Africa",1993,6,25,,Photograph,Gelatin Silver Print,Black & White,,17.875,15.125,,,,,"Signed, titled, dated and numbered '6/25' in pencil (verso, and embossed with photographer's credit in margin",Framed,,Good,"7432 Silver Palm Avenue, Las Vegas, NV  89117",Gallery Storage,2-Oct-19,"Christies, New York",328,"Allene Lapides Gallery, Santa Fe; acquired there by the present owner in October 1994",,,,,,,,,,,,,
146,"Ritts, Herb",1952-2002,American,"Correya, Africa",1993,6,25,,Photograph,Gelatin Silver Print,Black & White,,17.875,15.125,,,,,"Signed, titled, dated and numbered '6/25' in pencil (verso, and embossed with photographer's credit in margin",Framed,,Excellent,"7432 Silver Palm Avenue, Las Vegas, NV  89117",Gallery Storage,2-Oct-19,"Christies, New York",328,"Allene Lapides Gallery, Santa Fe; acquired there by the present owner in October 1994",,,,,,,,,,,,,
147,"Ritts, Herb",1952-2002,American,"Elephant Skull, Africa",1993,6,25,,Photograph,Gelatin Silver Print,Black & White,,18.5,11.75,,,,,"Signed, titled, dated and numbered '6/25' in pencil (verso, and embossed with photographer's credit in margin",Framed,,Good,"7432 Silver Palm Avenue, Las Vegas, NV  89117",Gallery Storage,2-Oct-19,"Christies, New York",328,"Allene Lapides Gallery, Santa Fe; acquired there by the present owner in October 1994",,,,,,,,,,,,,
148,"Ritts, Herb",1952-2002,American,"Eona, Holding Zebra Skull, Africa, 1993",1993,6,12,,Photograph,Gelatin Silver Print,Black & White,,33.75,51.375,,,,,"Signed, titled, dated and numbered '6/12' in pencil (flush mount, verso)",Framed,,Excellent,"7432 Silver Palm Avenue, Las Vegas, NV  89117",,3-Jun-20,"Christies, New York",258,"Allene Lapides Gallery, Santa Fe; acquired there by the present owner in October 1994",,,,,,,,,,,,,
149,"Rondinone, Ugo",b. 1964,Swiss,Seven Magic Mountains,2016,,,,Sculpture,Stone,Color,7,var,var,var,,,,,,,Excellent,"7432 Silver Palm Avenue, Las Vegas, NV  89117",Dining Room,10-May-16,Art Production Fund,,"Art Production Fund, New York",,,,,,,,,,,,,
150,"Ryan, David",b. 1971,American,TVC 15 (Transmission),2007,,,,Painting,Acrylic on MDF,Color,,24,29,2,,,,Signed,Panel,,Excellent,"7432 Silver Palm Avenue, Las Vegas, NV  89117",Gallery,1-Jun-07,"Mark Moore Gallery, Los Angeles",,,,,,,,,,,,,,,
151,"Salgado, Sebastiao",b. 1944,Brazil,"The Eastern Part of the Brooks Range, Alaska",2009,,,,Photograph,Gelatin Silver Print,Black & White,,21.25,29.75,,32.5,40.5,,"Signed, titled ""Alaska"" and dated in pencil on the verso",Framed,,Excellent,"7432 Silver Palm Avenue, Las Vegas, NV  89117",Gallery,4-Oct-11,Phillips de Pury & Company,177,"Phillips De Pury Photographs Auction, October 4, 2011; Peter Fetterman Gallery, Santa Monica",,,,,,,,,,,,,
152,"Salgado, Sebastiao",b. 1944,Brazil,"Arizona, USA, Plateau With Rainfall",2010,,,,Photograph,Gelatin Silver Print,Black & White,,14.625,20.125,,,,,"Signed, titled ""U.S.A."" and dated in pencil on the verso; copyright credit blindstamp in the margin",Framed,,Excellent,"7432 Silver Palm Avenue, Las Vegas, NV  89117",Living Room,4-Apr-12,Phillips de Pury & Company,120,"Phillips De Pury Photographs Auction, April 4, 2012; Peter Fetterman Gallery, Santa Monica",,,,,,,,,,,,,
153,"Salgado, Sebastiao",b. 1944,Brazil,"Brasil (Man Against Post, Serra Pelada Gold Mine)",1986,,,,Photograph,Gelatin Silver Print,Black & White,,11.625,17.5,,21.5,26.75,,"Blindstamped in the margin, signed, titled, and dated in pencil on the reverse, framed, an Irving Galleries label on the reverse, 1986",Framed,,Excellent,"7432 Silver Palm Avenue, Las Vegas, NV  89117",Living Room,2-Apr-14,"Sotheby's, New York",151,"Sotheby's New York, Acquired from Irving Galleries, Palm Beach, circa 1990",,,,,,,,,,,,,
154,"Salgado, Sebastiao",b. 1944,Brazil,"Serra Pelada Gold Mine, Brazil",1986,,,,Photograph,Gelatin Silver Print,Black & White,,17.5,11.75,,26,20.75,,"Debossed credit stamp in the margin; signed, titled ""Brasil"" and dated in pencil on the verso",Framed,,Excellent,"7432 Silver Palm Avenue, Las Vegas, NV  89117",Art Storage,27-Oct-15,"Bonhams, New York",30,"Peter Fetterman Gallery, Santa Monica, CA",,,,,,,,,,,,,
155,"Salgado, Sebastiao",b. 1944,Brazil,"Serra Pelada Gold Mine, Brazil (Horizontal Man Against Post)",1986,,,,Photograph,Gelatin Silver Print,Black & White,,11.625,17.75,,,,,Signed in ink and copyright credit blindstamp in the margin,,,,,,5-Apr-19,"Bonhams, New York",27,,,,,,,,,,,,,,
156,"Salgado, Sebastiao",b. 1944,Brazil,"Serra Pelada Gold Mine, Brazil (Vertical Ladders)",1986,,,,Photograph,Gelatin Silver Print,Black & White,,17.75,11.625,,,,,Signed in ink and copyright credit blindstamp in the margin,Framed,,Excellent,"7432 Silver Palm Avenue, Las Vegas, NV  89117",Gallery Storage,5-Apr-19,"Bonhams, New York",27,,,,,,,,,,,,,,
157,"Salgado, Sebastiao",b. 1944,Brazil,"Serra Pelada Gold Mine, Brazil (Vertical Valley)",1986,,,,Photograph,Gelatin Silver Print,Black & White,,17.75,11.625,,,,,Signed in ink and copyright credit blindstamp in the margin,Framed,,Excellent,"7432 Silver Palm Avenue, Las Vegas, NV  89117",Gallery Storage,5-Apr-19,"Bonhams, New York",27,,,,,,,,,,,,,,
158,"Salgado, Sebastiao",b. 1944,Brazil,"Serra Pelada Gold Mine, Brazil (Horizontal Cliff Face)",1986,,,,Photograph,Gelatin Silver Print,Black & White,,11.625,17.75,,,,,Signed in ink and copyright credit blindstamp in the margin,Framed,,Excellent,"7432 Silver Palm Avenue, Las Vegas, NV  89117",Gallery Storage,5-Apr-19,"Bonhams, New York",27,,,,,,,,,,,,,,
159,"Sawada, Tomoko",b. 1977,Japan,"Recruit: Black, Grey & Navy",2006,AP1/2,10,2006,Photograph,Chromogenic Print,Color,3,30,74.75,,,,,"Complete set of three works, each with 100 chromogenic prints mounted together; each work signed in Japanese and numbered ""AP1/2"" in ink on label on backing board",Framed,,Excellent,"7432 Silver Palm Avenue, Las Vegas, NV  89117",Gallery,1-Jul-09,"Christies, London, King Street",59,,,,,,,,,,,,,,
160,"Shadwell, Shelby",,American,Elephant Man,2011,,,,Drawing,Charcoal on Paper,Black & White,,80,63,,,,,,Framed,,Excellent,"7432 Silver Palm Avenue, Las Vegas, NV  89117",Gallery,14-May-11,"222 Shelby Street Gallery, Santa Fe NM",,"222 Shelby Street Gallery, 333 Montezuna Annex, Tom Tavelli",,,,,,,,,,,,,
161,"Siskind, Aaron",1903-1991,American,Pleasures and Terrors of Levitation 37,1953,,,1980s,Photograph,Silver Print,Black & White,,13.5,14,,,,,"Signed in pencil, and titled and dated in ink, on verso.",Framed,,Excellent,"7432 Silver Palm Avenue, Las Vegas, NV  89117",Living Room,21-Oct-08,Swann Auction Galleries,221,"Acquired directly from the photographer, to the present owner.",,,,,,,,,,,,,
162,"Starns, Doug and Mike",b. 1961,American,The No Mind Not Thinks No Things noklopkot,2012-13,2,3,,Photograph,Archival Inkjet Prints on Kozo paper and varnish,Color,,24,32.75,,28.75,37.5,,"Signed, titled, dated and editioned on label, on verso",Framed,,Excellent,"7432 Silver Palm Avenue, Las Vegas, NV  89117",Gallery,2-Oct-13,MOPA San Diego (2013 Photo Auction),4,"Courtesy of the artists and Artists Rights Society, New York",,,,,,,,,,,,,
163,"Stephenson, David",b. 1955,American,"Dome #11105, Duomo, Padova, Italy",1993,16,25,,Photograph,Chromogenic Print,Color,,22,22,,30,30,,Signed in pencil on verso,Framed,,Excellent,"7432 Silver Palm Avenue, Las Vegas, NV  89117",Powder Room,26-Feb-10,Julie Saul Gallery,,"Julie Saul Gallery, Ambient Art Projects Show: Looking Up",,,,,,,,,,,,,
164,"Stephenson, David",b. 1955,American,"Dome #16907, San Lorenzo, Torino, Italy",1993,18,25,,Photograph,Chromogenic Print,Color,,22,22,,30,30,,Signed in pencil on verso,Framed,,Excellent,"7432 Silver Palm Avenue, Las Vegas, NV  89117",Powder Room,26-Feb-10,Julie Saul Gallery,,"Julie Saul Gallery, Ambient Art Projects Show: Looking Up",,,,,,,,,,,,,
165,"Suzuki, Macha",b. 1979,Japan,Squirrel Drawing,2007,,,,Painting,Ink and colored pencil on paper,Color,,9,12,,,,,,Framed,,Excellent,"7432 Silver Palm Avenue, Las Vegas, NV  89117",Breakfast Room,11-May-08,"Sam Lee Gallery, Los Angeles",,,,,,,,,,,,,,,
166,"Suzuki, Macha",b. 1979,Japan,Plan B,2008,,,,Sculpture,Mixed media,Color,,76,60,48,,,,,,,Excellent,"7432 Silver Palm Avenue, Las Vegas, NV  89117",Gallery,11-May-08,"Sam Lee Gallery, Los Angeles",,"Sam Lee Gallery, Los Angeles",,,,,,,,,,,,,
167,"Tappen, Dawn",,American,,,,,,Painting,,Color,,,,,,,,,Panel,,Excellent,"7432 Silver Palm Avenue, Las Vegas, NV  89117",Gallery Storage,4-Jul-02,Idyllwild Arts,,,,,,,,,,,,,,,
168,"Tappen, Dawn",,American,,,,,,Painting,,Color,,,,,,,,,Panel,,Excellent,"7432 Silver Palm Avenue, Las Vegas, NV  89117",Gallery Storage,4-Jul-02,Idyllwild Arts,,,,,,,,,,,,,,,
169,"Thomas, Jeremy",b. 1973,American,Zen-Noh Red,2007,,,,Sculpture,Forged mild steel and powder coat,Color,,38,55,40,,,,,,,Excellent,"7432 Silver Palm Avenue, Las Vegas, NV  89117",Living Room,18-Aug-07,"Patricia Faure Gallery, Los Angeles",,"Patricia Faure Gallery, Santa Monica",,,,,,,,,,,,,
170,"Thomas, Jeremy",b. 1973,American,Commission (small): JT0209,2011,,,,Sculpture,Forged mild steel and powder coat,Color,,,,,,,,,,,Excellent,"7432 Silver Palm Avenue, Las Vegas, NV  89117",Living Room,19-Jun-11,"Charlotte Jackson Fine Art, Santa Fe",,"Directly from the Artist, via Charlotte Jackson Fine Art, Santa Fe",,,,,,,,,,,,,
171,"Thomas, Jeremy",b. 1973,American,Commission (large): JT0208,2011,,,,Sculpture,Forged mild steel and powder coat,Color,,,,,,,,,,,Excellent,"7432 Silver Palm Avenue, Las Vegas, NV  89117",Backyard,19-Jun-11,"Charlotte Jackson Fine Art, Santa Fe",,"Directly from the Artist, via Charlotte Jackson Fine Art, Santa Fe",,,,,,,,,,,,,
172,"Tolliver, Mose",1924-2006,American,,,,,,Painting,Oil on wood panel,Color,,,,,,,,Signed,Panel,,Excellent,"7432 Silver Palm Avenue, Las Vegas, NV  89117",Gallery Storage,,Gift of Don Nelson and Sue Walls,,Gift from Don Nelson,,,,,,,,,,,,,
173,Venske & Spanle,b. 1971 & 1969,Berlin & Munich,Smurf #133,2007,,,,Sculpture,Lasa Marble,White,,5,11.75,8.75,,,,,,,Excellent,"7432 Silver Palm Avenue, Las Vegas, NV  89117",Living Room,27-Sep-08,Las Vegas Collects Contemporary Gala,,,,,,,,,,,,,,,
174,"Watson, Albert",b. 1942,Scottish,"Jellyfish Tank, Mandalay Bay (Number 3)",2001,2,5,,Photograph,Oversize Dye Coupler,Color,,60,50,,68,57.5,,"Signed, titled, dated, and editioned '2/5' in ink mount verso",Framed,,Excellent,"7432 Silver Palm Avenue, Las Vegas, NV  89117",,6-Oct-20,"Heritage Auctions, Dallas",73291,,,,,,,,,,,,,,
175,"Wedel, Matt",,American,Gem (WEDE 5),2009,,,,Sculpture,Fired clay and glaze,Color,,36,31,35,,,,,,,Excellent,"7432 Silver Palm Avenue, Las Vegas, NV  89117",Gallery,20-May-11,"James Kelly Contemporary, Santa Fe",,"James Kelly Contemporary, Santa Fe",,,,,,,,,,,,,
176,"Wessel, Henry",b. 1942,American,Las Vegas #8,2002,3,5,,Photograph,Chromogenic Print,Color,,38,47.25,,,,,"Signed, titled, dated and editioned on verso; Charles Cowles Gallery, New York label",Framed,,Very Good to Excellent,"7432 Silver Palm Avenue, Las Vegas, NV  89117",Guest Room 2,17-Oct-14,Swann Auction Galleries,318,Acquired from Swann who acquired from Charles Cowles,,,,,,,,,,,,,
177,"Withers, Ernest",1922-2007,American,"""I Am A Man,"" Memphis Strike",1968,,,1980's,Photograph,Silver Print,Black & White,,7.5,12.875,,18.25,23.125,,Signed in pencil on verso,Framed,,Excellent,"7432 Silver Palm Avenue, Las Vegas, NV  89117",Master Bedroom,11-Dec-14,Swann Auction Galleries,462,,,,,,,,,,,,,,
178,"Wolf, Michael",b. 1954,German/American,Architecture of Density #13a,2003,1,9,2004,Photograph,Chromogenic Print,Color,,27,38,,,,,"Signed, titled, dated and editioned verso mount.",Framed,,Excellent,"7432 Silver Palm Avenue, Las Vegas, NV  89117",Gallery,18-Dec-04,Robert Koch Gallery,,,,,,,,,,,,,,,
179,,,,Celine Dion A New Day… The Curtain Has Closed (Memorabilia),2007,,,2007,Print,,Color,,22.75,16.5,,25.5,19.5,,,Framed,,Excellent,"7432 Silver Palm Avenue, Las Vegas, NV  89117",Gallery,15-Dec-07,Gift of AEG Live,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
